Time (s),Extension (mm),Load (N),Tensile strain (mm/mm)
0,-0.00081,3.04628,0
0.1,0.00431,49.79173,0
0.2,0.01506,232.9713,0.00002
0.3,0.02406,282.83347,0.00003
0.4,0.03275,330.76108,0.00003
0.5,0.041,370.091,0.00002
0.6,0.04937,409.99356,0.00002
0.7,0.05781,449.09119,0.00002
0.8,0.06606,483.81839,0.00002
0.9,0.07412,520.54688,0.00002
1,0.08256,558.44397,0.00002
1.1,0.09112,597.21075,0.00002
1.2,0.09925,634.59546,0.00003
1.3,0.10787,673.89832,0.00002
1.4,0.11619,711.01715,0.00003
1.5,0.12431,744.12231,0.00003
1.6,0.13269,781.56165,0.00003
1.7,0.141,818.70917,0.00004
1.8,0.14931,853.14355,0.00004
1.9,0.15762,892.13672,0.00005
2,0.16612,930.2403,0.00006
2.1,0.17456,967.32245,0.00006
2.2,0.18262,1004.70911,0.00006
2.3,0.19112,1044.14783,0.00007
2.4,0.19944,1083.07996,0.00008
2.5,0.2075,1119.76062,0.00008
2.6,0.216,1161.17847,0.00009
2.7,0.2245,1203.5498,0.00009
2.8,0.23287,1241.76196,0.0001
2.9,0.241,1282.76562,0.0001
3,0.24931,1324.29297,0.00011
3.1,0.25775,1365.75757,0.00011
3.2,0.26581,1405.59351,0.00012
3.3,0.27431,1449.67993,0.00012
3.4,0.28287,1494.2262,0.00013
3.5,0.29106,1533.83704,0.00013
3.6,0.29937,1577.55127,0.00014
3.7,0.30781,1622.30151,0.00015
3.8,0.31606,1662.58606,0.00014
3.9,0.32419,1707.03564,0.00015
4,0.33256,1751.16357,0.00016
4.1,0.34106,1795.23865,0.00016
4.2,0.34931,1840.44312,0.00017
4.3,0.35787,1887.88977,0.00017
4.4,0.36625,1934.1145,0.00018
4.5,0.37431,1975.8562,0.00018
4.6,0.38262,2023.65894,0.00019
4.7,0.39094,2070.45557,0.0002
4.8,0.39925,2114.35938,0.0002
4.9,0.40756,2164.42676,0.00021
5,0.41612,2213.09204,0.00021
5.1,0.42456,2258.84326,0.00022
5.2,0.43262,2305.11255,0.00022
5.3,0.44106,2354.05029,0.00023
5.4,0.44944,2403.11987,0.00023
5.5,0.4575,2447.87402,0.00024
5.6,0.466,2498.72607,0.00025
5.7,0.47444,2550.16357,0.00025
5.8,0.48287,2596.84155,0.00026
5.9,0.49106,2648.68457,0.00027
6,0.49937,2699.08594,0.00027
6.1,0.50787,2748.10986,0.00028
6.2,0.51575,2795.05151,0.00029
6.3,0.52419,2847.28784,0.0003
6.4,0.53287,2901.25366,0.0003
6.5,0.54106,2949.70337,0.00031
